g,K,winning_config
0.0,0.0,0
0.0,0.09,0
0.0,0.18,0
0.0,0.27,0
0.0,0.36,0
0.0,0.44999999999999996,0
0.0,0.54,0
0.0,0.63,0
0.0,0.72,0
0.0,0.8099999999999999,0
0.0,0.8999999999999999,0
0.0,0.99,0
0.09,0.0,0
0.09,0.09,0
0.09,0.18,0
0.09,0.27,0
0.09,0.36,0
0.09,0.44999999999999996,0
0.09,0.54,0
0.09,0.63,0
0.09,0.72,0
0.09,0.8099999999999999,0
0.09,0.8999999999999999,0
0.09,0.99,0
0.18,0.0,0
0.18,0.09,0
0.18,0.18,0
0.18,0.27,0
0.18,0.36,0
0.18,0.44999999999999996,0
0.18,0.54,0
0.18,0.63,0
0.18,0.72,0
0.18,0.8099999999999999,0
0.18,0.8999999999999999,0
0.18,0.99,0
0.27,0.0,0
0.27,0.09,0
0.27,0.18,0
0.27,0.27,0
0.27,0.36,0
0.27,0.44999999999999996,0
0.27,0.54,0
0.27,0.63,0
0.27,0.72,0
0.27,0.8099999999999999,0
0.27,0.8999999999999999,0
0.27,0.99,0
0.36,0.0,0
0.36,0.09,0
0.36,0.18,0
0.36,0.27,0
0.36,0.36,0
0.36,0.44999999999999996,0
0.36,0.54,0
0.36,0.63,0
0.36,0.72,0
0.36,0.8099999999999999,0
0.36,0.8999999999999999,0
0.36,0.99,0
0.44999999999999996,0.0,0
0.44999999999999996,0.09,0
0.44999999999999996,0.18,0
0.44999999999999996,0.27,0
0.44999999999999996,0.36,0
0.44999999999999996,0.44999999999999996,0
0.44999999999999996,0.54,0
0.44999999999999996,0.63,0
0.44999999999999996,0.72,0
0.44999999999999996,0.8099999999999999,0
0.44999999999999996,0.8999999999999999,0
0.44999999999999996,0.99,0
0.54,0.0,0
0.54,0.09,0
0.54,0.18,0
0.54,0.27,0
0.54,0.36,0
0.54,0.44999999999999996,0
0.54,0.54,0
0.54,0.63,0
0.54,0.72,0
0.54,0.8099999999999999,0
0.54,0.8999999999999999,0
0.54,0.99,0
0.63,0.0,0
0.63,0.09,0
0.63,0.18,0
0.63,0.27,0
0.63,0.36,0
0.63,0.44999999999999996,0
0.63,0.54,0
0.63,0.63,0
0.63,0.72,0
0.63,0.8099999999999999,0
0.63,0.8999999999999999,0
0.63,0.99,0
0.72,0.0,0
0.72,0.09,0
0.72,0.18,0
0.72,0.27,0
0.72,0.36,0
0.72,0.44999999999999996,0
0.72,0.54,0
0.72,0.63,0
0.72,0.72,0
0.72,0.8099999999999999,0
0.72,0.8999999999999999,0
0.72,0.99,0
0.8099999999999999,0.0,0
0.8099999999999999,0.09,0
0.8099999999999999,0.18,0
0.8099999999999999,0.27,0
0.8099999999999999,0.36,0
0.8099999999999999,0.44999999999999996,0
0.8099999999999999,0.54,0
0.8099999999999999,0.63,0
0.8099999999999999,0.72,0
0.8099999999999999,0.8099999999999999,0
0.8099999999999999,0.8999999999999999,0
0.8099999999999999,0.99,0
0.8999999999999999,0.0,0
0.8999999999999999,0.09,0
0.8999999999999999,0.18,0
0.8999999999999999,0.27,0
0.8999999999999999,0.36,0
0.8999999999999999,0.44999999999999996,0
0.8999999999999999,0.54,0
0.8999999999999999,0.63,0
0.8999999999999999,0.72,0
0.8999999999999999,0.8099999999999999,0
0.8999999999999999,0.8999999999999999,0
0.8999999999999999,0.99,0
0.99,0.0,0
0.99,0.09,0
0.99,0.18,0
0.99,0.27,0
0.99,0.36,0
0.99,0.44999999999999996,0
0.99,0.54,0
0.99,0.63,0
0.99,0.72,0
0.99,0.8099999999999999,0
0.99,0.8999999999999999,0
0.99,0.99,0
